parola;word;colore;corrAns;congruente;HumanLoop.thisRepN;HumanLoop.thisTrialN;HumanLoop.thisN;HumanLoop.thisIndex;FullPracticeLoop.thisRepN;FullPracticeLoop.thisTrialN;FullPracticeLoop.thisN;FullPracticeLoop.thisIndex;PracticeLoop.thisRepN;PracticeLoop.thisTrialN;PracticeLoop.thisN;PracticeLoop.thisIndex;ControbilanciamewntoLoop.thisRepN;ControbilanciamewntoLoop.thisTrialN;ControbilanciamewntoLoop.thisN;ControbilanciamewntoLoop.thisIndex;ItaLoop.thisRepN;ItaLoop.thisTrialN;ItaLoop.thisN;ItaLoop.thisIndex;EngLoop.thisRepN;EngLoop.thisTrialN;EngLoop.thisN;EngLoop.thisIndex;human_txt.started;human_txt.stopped;math_txt.started;math_txt.stopped;textbox.text;textbox.started;textbox.stopped;button.started;button.stopped;button.numClicks;button.timesOn;button.timesOff;practice_ms.x;practice_ms.y;practice_ms.leftButton;practice_ms.midButton;practice_ms.rightButton;practice_ms.time;practice_ms.clicked_name;practice_ms.started;practice_ms.stopped;fixation_txt.started;fixation_txt.stopped;blocco;order;practice_txt.started;practice_txt.stopped;practice_kb.keys;practice_kb.corr;practice_kb.rt;practice_kb.started;practice_kb.stopped;ita_txt.started;ita_txt.stopped;ita_kb.keys;ita_kb.corr;ita_kb.rt;ita_kb.started;ita_kb.stopped;eng_txt.started;eng_txt.stopped;eng_kb.keys;eng_kb.corr;eng_kb.rt;eng_kb.started;eng_kb.stopped;likert_txt.started;likert_txt.stopped;likert_sld.response;likert_sld.rt;likert_sld.started;likert_sld.stopped;likert_bt.numClicks;likert_bt.timesOn;likert_bt.timesOff;participant;session;date;expName;psychopyVersion;frameRate;
blu;blue;green;down;incong;;;;;;;;;;;;;1;0;1;0;;;;;0;4;4;9;;;;;;;;;;;;;;;;;;;;;;58.25706194000668;None;ENG;ITA_ENG;;;;;;;;;;;;;;;58.756983425002545;None;down;1;0.398680844984483;58.756983425002545;None;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
blu;blue;red;left;incong;;;;;;;;;;;;;1;0;1;0;;;;;0;5;5;8;;;;;;;;;;;;;;;;;;;;;;59.17353256701608;None;ENG;ITA_ENG;;;;;;;;;;;;;;;59.67347492501722;None;left;1;0.5218455429712776;59.67347492501722;None;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
rosso;red;red;left;cong;;;;;;;;;;;;;1;0;1;0;;;;;0;6;6;1;;;;;;;;;;;;;;;;;;;;;;60.22370393600431;None;ENG;ITA_ENG;;;;;;;;;;;;;;;60.723080845025834;None;left;1;0.42380677195615135;60.723080845025834;None;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
rosso;red;blue;right;incong;;;;;;;;;;;;;1;0;1;0;;;;;0;7;7;3;;;;;;;;;;;;;;;;;;;;;;61.173607903008815;None;ENG;ITA_ENG;;;;;;;;;;;;;;;61.67348814502475;None;right;1;0.6752917239791714;61.67348814502475;None;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
verde;green;red;left;incong;;;;;;;;;;;;;1;0;1;0;;;;;0;8;8;4;;;;;;;;;;;;;;;;;;;;;;62.373583397013135;None;ENG;ITA_ENG;;;;;;;;;;;;;;;62.87331467101467;None;left;1;1.0131773489702027;62.87331467101467;None;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
rosso;red;green;down;incong;;;;;;;;;;;;;1;0;1;0;;;;;0;9;9;2;;;;;;;;;;;;;;;;;;;;;;63.90695305800182;None;ENG;ITA_ENG;;;;;;;;;;;;;;;64.40688504400896;None;down;1;0.34555778198409826;64.40688504400896;None;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
verde;green;green;down;cong;;;;;;;;;;;;;1;0;1;0;;;;;0;10;10;5;;;;;;;;;;;;;;;;;;;;;;64.7729529410135;None;ENG;ITA_ENG;;;;;;;;;;;;;;;65.2731270470249;None;down;1;0.6631026659742929;65.2731270470249;None;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
blu;blue;blue;right;cong;;;;;;;;;;;;;1;0;1;0;;;;;0;11;11;11;;;;;;;;;;;;;;;;;;;;;;65.9568680950033;None;ENG;ITA_ENG;;;;;;;;;;;;;;;66.45695111402893;None;right;1;0.5212486839736812;66.45695111402893;None;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
;;;;;;;;;;;;;;;;;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;01;2022-10-21_07h20.47.045;stroop;2022.1.4;59.97062351196888;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67.25003710802412;None;6.785714285714285;11.425066282012267;67.25003710802412;None;1;[17.623430990002817];[17.623435034009162];;;;;;;
